Street Address,County Name,City,Store Name,State,Zip_Code,Ownership Type
1000 Ted Johnson Pkwy,GUILFORD,GREENSBORO,GSO - South Concourse,NC,27409,Licensed
1603 Battleground Avenue,GUILFORD,GREENSBORO,Shops on Battleground,NC,27408,Company Owned
2639 Lawndale Dr,GUILFORD,GREENSBORO,Harris Teeter - Greensboro #347,NC,27408,Licensed
1601 E Market St,GUILFORD,GREENSBORO,North Carolina A & T State Univ,NC,27411,Licensed
"E 5th Str, Stanton Square Shopping Center",PITT,GREENVILLE,East Carolina University Joyner Lib,NC,27858,Licensed
100 East 10th Street,PITT,GREENVILLE,East Carolina University,NC,27858,Company Owned
"1001 East 5th Street, Jones Hall on College Hill Dr.",PITT,GREENVILLE,ECU Mobile Truck,NC,27858,Licensed
"100 Founders Dr, La Promenade",PITT,GREENVILLE,East Carolina University - Wright P,NC,27858,Licensed
518-B Greenville Blvd. SE,PITT,GREENVILLE,Greenville,NC,27858,Company Owned
"2120 E Firetower Rd, Suite 101",PITT,GREENVILLE,Harris Teeter-Greenville #287,NC,27858,Licensed
"2205 W. Arlington Blvd., Suite A",PITT,GREENVILLE,Stanton Square,NC,27834,Company Owned
3040 EVANS ST,PITT,GREENVILLE,Harris Teeter-Greenville NC #362,NC,27834,Licensed
"4100 Humber Dr, Unit 100",PITT,WINTERVILLE,Firetower Road and S. Memorial,NC,28590,Company Owned
12190 University City Blvd,CABARRUS,HARRISBURG,Harris Teeter Harrisburg # 92,NC,28075,Licensed
230 Highway 64 E,CLAY,HAYESVILLE,Ingles Hayesville # 116,NC,28904,Licensed
1980 Asheville Hwy,HENDERSON,HENDERSONVILLE,Ingles-Hendersonville #11,NC,28792,Licensed
3643 Howard Gap Rd,HENDERSON,HENDERSONVILLE,Ingles-Hendersonville #179,NC,28792,Licensed
103 Mitchelle Drive,HENDERSON,HENDERSONVILLE,Four Seasons Boulevard & I-26,NC,28792,Company Owned
"1342 2nd St., NE",CATAWBA,HICKORY,Hickory North,NC,28601,Company Owned
1186 Lenoir Rhyne Blvd,CATAWBA,HICKORY,Lenoir Rhyne Blvd & I-40,NC,28602,Company Owned
"1910 Catawba Valley Blvd SE, Family Video",CATAWBA,HICKORY,Target Hickory T-1181,NC,28602,Licensed
"2101 N. Main Street, Suite 103",GUILFORD,HIGH POINT,"High Point, NC",NC,27262,Company Owned
5th Street,GUILFORD,HIGH POINT,High Point University-Cottrell Hall,NC,27262,Licensed
265 Eastchester Dr,GUILFORD,HIGH POINT,Harris Teeter - High Point #341,NC,27262,Licensed
3875 John Gordon Lane,GUILFORD,HIGH POINT,Shoppes at Deep River,NC,27265,Company Owned
5277 Sunset Lake Rd,WAKE,HOLLY SPRINGS,Harris Teeter-Holly Springs #118,NC,27540,Licensed
185 Grand Hill Place,WAKE,HOLLY SPRINGS,Hwy 55 & New Hill Road,NC,27540,Company Owned
100 Grand Hill Place,WAKE,HOLLY SPRINGS,Target Holly Springs T-2785,NC,27540,Licensed
"7715 Regency Lake Dr, Rosedale Commons",MECKLENBURG,HUNTERSVILLE,Teeter-Huntersville #272,NC,28078,Licensed
"9832 Gilead Road, Space D101, Birkdale Village",MECKLENBURG,HUNTERSVILLE,Rosedale,NC,28078,Company Owned
16846B Birkdale Commons Pkwy,MECKLENBURG,HUNTERSVILLE,Birkdale,NC,28078,Company Owned
9801 Sam Furr Rd,MECKLENBURG,HUNTERSVILLE,Target Huntersville T-966,NC,28078,Licensed
"9932 Knockando Lane, Sun Valley Shopping Center",MECKLENBURG,HUNTERSVILLE,Sam Furr Rd & Hwy 115,NC,28078,Company Owned
"6701 Old Monroe Rd, Suite A",UNION,INDIAN TRAIL,Sun Valley,NC,28079,Company Owned
1395D Western Blvd,ONSLOW,JACKSONVILLE,Target Jacksonville T-1226,NC,28546,Licensed
"1654 Western Boulevard, Lot 2, Jacksonville Mall",ONSLOW,JACKSONVILLE,Western & Gateway,NC,28546,Company Owned
370 Western Boulevard,ONSLOW,JACKSONVILLE,Jacksonville,NC,28546,Company Owned
5635 Riverdale Dr,GUILFORD,JAMESTOWN,Furnitureland South,NC,27282,Licensed
1024 S Main St,FORSYTH,KERNERSVILLE,Target Kernersville T-2134,NC,27284,Licensed
"1020 S. Main Street, 1A",FORSYTH,KERNERSVILLE,1020 S. Main Street,NC,27284,Company Owned
971 S Main St,FORSYTH,KERNERSVILLE,Harris Teeter-Kernersville #250,NC,27284,Licensed
2012 South Croatan Highway,DARE,KILL DEVIL HILLS,Harris Teeter Kill Devils Hills # 1,NC,27948,Licensed
"2111 Shelby Rd, Marketplace at Southern Shores",CLEVELAND,KINGS MOUNTAIN,Ingles Kings Mountain # 147,NC,28086,Licensed
5597-A North Croatan Highway,DARE,KITTY HAWK,Kitty Hawk,NC,27949,Company Owned
1000 Shoppes at Midway Dr,WAKE,KNIGHTDALE,Target Knightdale T-2111,NC,27545,Licensed
212 Hinton Oaks Boulevard,WAKE,KNIGHTDALE,Knightdale,NC,27545,Company Owned
2021 Olde Regent Way,BRUNSWICK,LELAND,Harris Teeter - Leland #225,NC,28451,Licensed
2130 E Main St,LINCOLN,LINCOLNTON,Ingles Lincolnton #148,NC,28092,Licensed
5084 Kahn Drive,ROBESON,LUMBERTON,I-95 & Fayetteville Rd - Lumberton,NC,28358,Company Owned
1900 Matthews Township Pkwy,MECKLENBURG,MATTHEWS,Target Charlotte SE T-918,NC,28105,Licensed
1811 Matthews Township Pkwy,MECKLENBURG,MATTHEWS,Harris Teeter-Matthews #157,NC,28105,Licensed
"2233 Matthews Township Parkway, Suite A",MECKLENBURG,MATTHEWS,Sycamore Commons,NC,28105,Company Owned
13639 Providence Rd,UNION,MATTHEWS,Harris Teeter - Matthews #343,NC,28104,Licensed
"6350 Weddington Monroe Rd, Independence Mall",UNION,MATTHEWS,Target Wesley Chapel T-2395,NC,28104,Licensed
3890 Brundage Lane,ALAMANCE,MEBANE,Mebane Oaks Rd & I-85,NC,27302,Company Owned
3338 Boylston Hwy,HENDERSON,MILLS RIVER,Ingles Mills River # 133,NC,28759,Licensed
7036 Brighton Park Dr,MECKLENBURG,CHARLOTTE,Harris Teeter Mint Hill # 474,NC,28227,Licensed
2937 Monroe Way,UNION,MONROE,Hwy 74 & Windmere - Monroe,NC,28110,Company Owned
2901 W Hwy 74,UNION,MONROE,Target Monroe  T-2074,NC,28110,Licensed
"118 Argus Lane, Mount Mourne Springs",IREDELL,MOORESVILLE,Harris Teeter - Mooresville #274,NC,28117,Licensed
235 Medical Park Road,IREDELL,MOORESVILLE,Mount Mourne,NC,28117,Company Owned
134 Town Center Drive,IREDELL,MOORESVILLE,Harris Teeter-Mooresville #99,NC,28117,Licensed
